编号,出题人,知识领域,问题,答案,难度,来源文件,答案出处（如有，贴截图）,测试人员,测试结果（通过/不通过）,AI知识回答原文,备注,Result,结果
11.0,袁灿,暖通,风机盘管温控器是否需要预埋接线盒？,需要,,非库内规范,,朱紫威,不通过,根据提供的基础资料，风机盘管的温控器并不需要预埋接线盒。风机盘管的安装应该平稳、牢固，连接严密不得漏风。在安装风机盘管时，需要对供冷量、供热量、风量、水阻力、功率等性能参数进行检验，确保设备正常运行。风机盘管的连接应采用耐压值大于或等于1.5倍工作压力的金属或非金属柔性连接，连接应牢固、严密，坡向正确。同时，应注意保温措施，确保系统正常运行。,回答了风机盘管安装注意事项，但是对温控器预埋由于知识库中没有匹配到，故返回不需要,未通过,
12.0,袁灿,暖通,水平风管的支管如何设置支架？,每个支管应设少于1个防晃支架，支管距离三通位置应在1.2米内设一个支架,,非库内规范,,朱紫威,通过,"根据提供的基础资料，水平风管的支管设置支架时需要注意以下几点：

1.支、吊架不应设置在风口、检查口处以及阀门、自控机构的操作部位，且距风口不应小于200mm。
2.圆形风管U形管卡圆弧应均匀，且应与风管外径相一致。
3.支、吊架距风管末端不应大于1000mm，距水平弯头的起弯点间距不应大于500mm，设在支管上的支吊架距干管不应大于1200mm。
4.吊杆与吊架根部连接应牢固，吊杆应平直，螺纹完整、光洁。吊架安装后受力均匀，无变形。
5.水平悬吊风管长度超过20m时，应设置至少1个防晃支架。

在安装支架时，需要遵守这些规定，以确保风管的安全和稳定运行。希望以上信息能够帮助您解决问题。",,未通过,
13.0,袁灿,暖通,竖直风管如何设置支架？,支架间距不超过2.4M，每根立管的支架不少于2个,,非库内规范,,朱紫威,通过,"根据提供的资料，竖直风管的支架设置应遵循以下要求：
1.风管垂直安装时，应设置至少2个固定点，支架间距不应大于4m。
2.风管支架宜设置在法兰连接处，不宜单独以抱箍的形式固定风管，应使用型钢支架，并使风管重量通过法兰作用于支架上。
3.悬吊的水平主、干风管直线长度超过20m时，应设置防晃支架或固定点，每个系统应至少有1个。
4.柔性风管支吊架的间距不应大于1500mm。
5.风管支吊架的设置不应影响阀门、自控机构的正常动作，且不应设置在风口、检查门处，离风口和分支管的距离不宜小于200mm。

希望以上回答能帮助到您解决问题。如果有其他疑问，欢迎继续提问。",,未通过,
14.0,袁灿,暖通,风管穿墙处防火板尺寸如何确定？,防火板尺寸最少大于预留洞口50mm,,非库内规范,,朱紫威,不通过,"根据提供的基础资料，风管穿墙处的防火板的尺寸应该通过以下步骤确定：
1.风管穿过需要密闭的防火楼板或墙体时，应设壁厚不小于1.6mm的钢制预埋管或防护套管。预埋管或套管钢板壁厚不应小于1.6mm。
2.风管与防护套管之间应采用不燃且对人体无害的柔性材料封堵，然后用密封胶封死。
3.风管在穿过防火分隔墙或楼板时，应采取防火保护措施，如使用耐火风管或在风管外壁采取防火保护措施。
4.风管穿越部位的缝隙需进行防火封堵，表面最后应进行装饰处理。

因此，风管穿墙处的防火板的尺寸应根据风管与防护套管的间隙尺寸以及预埋管或防护套管的壁厚来确定，确保符合防火要求和安全标准",知识库无匹配项,未通过,
15.0,袁灿,暖通,屋面风机所用防虫网如何选择？,一般为6~7目,,非库内规范,,朱紫威,,屋面风机所用防虫网应该选择易于清扫积尘、积物的金属防虫滤网，并确保防虫网能有效防止鼠、昆虫的进入。此外，防虫网应该方便拆装，并安装在新风口处，高于室外地面2.5m以上，远离污染源。防虫网的选择应考虑其易于清洗、防水、防雨渗漏，并能有效防止小动物、昆虫进入。防虫网的安装应符合相关规定，并在新风口处进行设置。,知识库无匹配项,未通过,
16.0,袁灿,暖通,风管排风系统属于低压、中压还是高压系统？,低压,,非库内规范,,朱紫威,,"风管排风系统根据工作压力的不同，可以划分为微压、低压、中压和高压系统。具体划分如下：
-微压系统：管内正压P≤125Pa，管内负压P≥-125Pa。
-低压系统：125Pa<P≤500Pa，-500Pa≤P<-125Pa。
-中压系统：500Pa<P≤1500Pa，-1000Pa≤P<-500Pa。
-高压系统：1500Pa<P≤2500Pa，-2000Pa≤P<-1000Pa。

同时，根据风管工作压力的不同，相应的密封要求也有所不同：
-微压系统要求接缝及接管连接处应严密。
-低压系统要求接缝及接管连接处应严密，密封面宜设在风管的正压侧。
-中压系统要求接缝及接管连接处应加设密封措施。
-高压系统要求所有的拼接缝及接管连接处均应采取密封措施。

因此，根据上述规定，风管排风系统可以被划分为微压、低压、中压和高压系统。",知识库没有查到排风系统的压力值；但对风管系统的压力划分给出了定义。,未通过,
17.0,袁灿,暖通,风管防排烟系统属于低压、中压还是高压系统？,高压,,非库内规范,,朱紫威,通过,"根据提供的基础资料，风管系统按工作压力可分为微压、低压、中压和高压四个类别。其中，低压风管系统工作压力为125Pa至500Pa，中压风管系统工作压力为500Pa至1500Pa，高压风管系统工作压力为1500Pa至2500Pa。

根据风管系统的严密性要求，排烟系统属于低压系统。低压风管系统对系统的严密性要求相对较低，但仍需要控制风管漏风量。因此，排烟系统属于低压风管系统。

因此，风管防排烟系统属于低压系统。",,未通过,
18.0,袁灿,暖通,风管钢制防护套管的厚度要求？,不小于1.6mm,,非库内规范,,朱紫威,通过,风管钢制防护套管的厚度要求为不小于1.6mm。风管穿过防火、防爆的墙体或楼板时，必须设置厚度不小于1.6mm的钢制防护套管，并且风管与防护套管之间应采用不燃柔性材料封堵严密。整体要求风管与防护套管之间使用不燃柔性材料封堵，保证安全性能和密封性能。,,未通过,
19.0,袁灿,暖通,冷凝水管的坡度需求？,≥8‰,,非库内规范,,朱紫威,通过,冷凝水管道的坡度在安装时应满足设计要求。如果设计中没有具体要求，通常要求干管的坡度不小于0.8%，支管的坡度不小于1%。另外，冷凝水管道与机组连接时应按设计要求安装存水弯，并且采用的软管应该牢固可靠、顺直，长度不宜超过150mm。此外，冷凝水管道严禁直接接入生活污水管道，也不应接入雨水管道。,,未通过,
20.0,袁灿,暖通,铝箔玻璃棉保温板底面保温钉数量要求？,16,,非库内规范,,朱紫威,通过,"根据提供的资料，铝箔玻璃棉板底面保温钉的数量应该满足以下要求：
-底面每平方米不少于16个
-侧面不少于10个
-顶面不少于8个

此外，首行保温钉至绝热材料边沿的距离应小于120mm，保温钉的固定压片应松紧适度、均匀压紧。保温钉与风管、部件及设备表面的连接可以采用粘结或焊接，数量和布局应根据要求进行。

希望这能解答您的问题。如有其他疑问，请随时提出。",比标答更准确一些,未通过,
21.0,袁灿,给排水,水泵进水管如何变径？,顶平偏心变径,,非库内规范,,徐世强,通过,"根据提供的资料，水泵进水管变径时，需要采用偏心变径管，管顶上平，并且进口处应有不小于2倍管径的直管段，不应直接安装弯头。此外，进水管应有沿水流方向连续上升的不小于0.5%的坡度，并且应避免因避让其他管道安装向上或向下的弯管。最好做成向水泵上升的坡度(i=0.005)，以消除对水泵稳定运行带来的不利影响。同时，需要设置可挠曲软接头，不宜采用金属软管，以适应管道的伸缩变化。最后，吸入管应安装阀门、过滤器，并且应设置独立的管道支、吊架。希望以上信息对您有所帮助。

共4条引用
1、141、室外给水设计标准_条文说明-->6泵房-->6.3水泵进出水管道-->6.3.2进水管在平面布置上靠近水泵入口段顺直有利于水泵入流平顺。应避免水泵入口的渐缩管直接连接弯管。
2、354GB50738-2011[A010]通风与空调工程施工规范_规范-->10空调冷热源与辅助设备安装-->10.8水泵安装-->10.8.4水泵就位安装应符合下列规定_
3、141、室外给水设计标准_规范-->6泵房-->6.3水泵进出水管道-->6.3.7水泵进、出水管及阀门应安装伸缩节，安装位置应便于水泵、阀门和管路的安装和拆卸，伸缩接头应采用传力式带限位的形式。
4、279GB50288-2018[A000]灌溉与排水工程设计标准的条文解释_条文说明-->10倒虹吸-->10.2总体布置-->10.2.4有关进、出口段布置说明如下_",,未通过,
22.0,袁灿,给排水,水泵出水管如何变径？,同心变径,,非库内规范,,徐世强,不通过,"根据提供的基础资料，水泵出水管如何变径的情况应该采用渐扩管进行过渡，使流速在规定范围内，以减少水头损失和保证水泵正常运行。此外，应在管道安装位置、敷设方式、坡度、坡向等方面符合设计要求。

如果需要对水泵出水管进行变径，可以考虑使用偏心变径管，管顶上平，以确保水流顺畅。在进行变径时，也应注意设置阀门、过滤器，并采用可挠曲软接头连接，不宜采用金属软管。

总之，变径时需要注意保持管道的平顺和流速范围内，符合相关的设计要求和规范。

共4条引用
1、142、室外排水设计标准_条文说明-->6泵站-->6.4泵房设计-->6.4.4水泵吸水管和出水管流速不宜过大，以减少水头损失和保证水泵正常运行。如水泵的进出口管管径较小，则应配置渐扩管进行过渡，使流速在本标准规定的范围内。
2、354GB50738-2011[A010]通风与空调工程施工规范_规范-->10空调冷热源与辅助设备安装-->10.8水泵安装-->10.8.4水泵就位安装应符合下列规定_
3、141、室外给水设计标准_规范-->6泵房-->6.3水泵进出水管道-->6.3.7水泵进、出水管及阀门应安装伸缩节，安装位置应便于水泵、阀门和管路的安装和拆卸，伸缩接头应采用传力式带限位的形式。
4、354GB50738-2011[A010]通风与空调工程施工规范_规范-->11空调水系统管道与附件安装-->11.3管道安装-->11.3.4管道安装应符合下列规定_",,未通过,
23.0,袁灿,给排水,冷却水管如何设置管道补偿？,冷却水管不考虑管道补偿,,非库内规范,,徐世强,不通过,"根据提供的资料，当供暖管道热膨胀引起的位移量超过自然补偿能力时，需要设置补偿器来补偿管道热胀冷缩。补偿器的选择要根据管道的具体情况和计算来确定，常用的补偿器有方形补偿器、套筒补偿器和球形补偿器等。在管道补偿方面，还有一些具体要求需要遵守，比如固定支架位置的布置、管道的安装温度考虑范围、供回水管道充分利用自然补偿等。如果在已有资料中没有找到具体的设置管道补偿的步骤，可以咨询专业工程师或参考相关标准规范。

共4条引用
1、161、工业建筑供暖通风与空气调节设计规范_规范-->5供暖-->5.8供暖管道-->5.8.17供暖管道必须计算其热膨胀。当利用管段的自然补偿不能满足要求时，应设置补偿器。
2、163、供暖通风与空气调节术语标准_规范-->3供暖-->3.6供暖系统设备及附件-->3.6.38补偿器compensator
3、143、建筑给水排水设计标准_规范-->6热水及饮水供应-->6.8管材、附件和管道敷设-->6.8.3热水管道系统应采取补偿管道热胀冷缩的措施。
4、352GB50736-2012[A000]民用建筑供暖通风与空气调节设计规范（条文说明）_条文说明-->5供暖-->5.9供暖管道设计及水力计算-->5.9.5供暖管道热膨胀及补偿。强制性条文。",,未通过,
24.0,袁灿,给排水,水泵出水管的阀门安装顺序？,变径管—可曲挠软接头—短管—止回阀—闸阀,,非库内规范,,徐世强,通过,"根据提供的基础资料，水泵出水管的阀门安装顺序为：变径管、可挠曲软接头、短管、止回阀、闸阀或蝶阀。同时，出水管变径应采用同心变径，并且需要设置独立的管道支、吊架。在消防水泵的出水管上应安装止回阀、控制阀和压力表，或者控制阀、多功能水泵控制阀和压力表，压力表的量程应为工作压力的2.0倍～2.5倍。希望能帮助到您！如果有任何疑问，请随时提出。

共4条引用
1、141、室外给水设计标准_规范-->6泵房-->6.3水泵进出水管道-->6.3.7水泵进、出水管及阀门应安装伸缩节，安装位置应便于水泵、阀门和管路的安装和拆卸，伸缩接头应采用传力式带限位的形式。
2、354GB50738-2011[A010]通风与空调工程施工规范_规范-->10空调冷热源与辅助设备安装-->10.8水泵安装-->10.8.3水泵减振装置安装应满足设计及产品技术文件的要求，并应符合下列规定_
3、269GB50261-2017[A000]自动喷水灭火系统施工及验收规范_规范-->4供水设施安装与施工-->4.2消防水泵安装-->4.2.4消防水泵的出水管上应安装止回阀、控制阀和压力表，或安装控制阀、多功能水泵控制阀和压力表
4、354GB50738-2011[A010]通风与空调工程施工规范_规范-->10空调冷热源与辅助设备安装-->10.8水泵安装-->10.8.6水泵出水管安装应满足设计要求，并应符合下列规定_",,未通过,
25.0,袁灿,给排水,冷、热水管道如何上、下平行安装,热水管应在冷水管上方,,非库内规范,,徐世强,通过,"根据提供的基础资料，冷、热水管道同时安装时，上、下平行安装时热水管应在冷水管上方。垂直平行安装时热水管应在冷水管左侧。此安装规定主要是为了防止冷水管在热水管上方结露，便于管理和维修。另外，室内冷、热水管上、下平行敷设时，冷水管应在热水管下方，而卫生器具的冷水连接管则应在热水连接管的右侧。这些规定旨在确保管道的正常运行和便于维护管理。

共4条引用
1、259GB50242-2002[A000]建筑给水排水及采暖工程施工质量验收规范_规范-->4室内给水系统安装-->4.1一般规定-->4.1.8冷、热水管道同时安装应符合下列规定_1上、下平行安装时热水管应在冷水管上方。2垂直平行安装时热水管应在冷水管左侧。
2、259GB50242-2002[A000]建筑给水排水及采暖工程施工质量验收规范的条文解释_条文说明-->4室内给水系统安装-->4.1一般规定-->4.1.8冷、热水管道同时安装，规定1.上下平行安装时热水管应在冷水管上方，主要防止冷水管安装在热水管上方时冷水管外表面结露_2.垂直安装时热水管应在冷水管左侧，主要是便于管理、维修。
3、143、建筑给水排水设计标准_规范-->3给水-->3.6管道布置和敷设-->3.6.21室内冷、热水管上、下平行敷设时，冷水管应在热水管下方。卫生器具的冷水连接管，应在热水连接管的右侧。
4、24年一建机电-官方教材_专业文件-->第3章建筑机电工程施工技术-->3.1建筑给水排水与供暖工程施工技术-->3.1.3建筑给水管道施工技术-->2.室内给水管道施工技术要求",,未通过,
26.0,袁灿,给排水,如何安装水流指示器？,应使电器元件部位竖直安装在水平管道上侧，其动作方向应和水流方向一致；安装后的水流指示器浆片、膜片应动作灵活，不应与管壁发生碰擦。,,非库内规范,,徐世强,通过,"根据提供的资料，安装水流指示器的步骤如下：
1.在管道试压和冲洗合格后进行安装，确保水流指示器的规格和型号符合设计要求。
2.将水流指示器的电器元件部分竖直安装在水平管道上方，确保动作方向与水流方向一致。
3.检查安装后的水流指示器的浆片或膜片应该动作灵活，不应与管壁碰擦。
4.水流指示器是湿式灭火系统中的重要组件，通过管网内水流启动并发出电讯号，用于报警设施和区域警报。

若以上资料无法解决您的问题，请您提供更具体的信息或寻求专业帮助。

共4条引用
1、340GB50606-2010[A010]智能建筑工程施工规范_规范-->12建筑设备监控系统-->12.2设备安装-->12.2.11水流开关应垂直安装在水平管段上。水流开关上标识的箭头方向应与水流方向一致，水流叶片的长度应大于管径的1、2。
2、148、自动喷水灭火系统设计规范_条文说明-->6系统组件-->6.3水流指示器-->6.3.1水流指示器的功能是及时报告发生火灾的部位，本条对系统中要求设置水流指示器的部位提出了规定，即每个防火分区和
3、269GB50261-2017[A000]自动喷水灭火系统施工及验收规范_规范-->5管网及系统组件安装-->5.4其他组件安装-->5.4.1水流指示器的安装应符合下列要求_
4、269GB50261-2017[A000]自动喷水灭火系统施工及验收规范的条文解释_条文说明-->5管网及系统组件安装-->5.4其他组件安装-->5.4.1本条对水流指示器的安装程序、安装位置、安装技术要求等作了明确规定。
",,未通过,
27.0,袁灿,给排水,减压阀阀体上的箭头方向设置？,减压阀阀体上的箭头必须与介质流向相反,,非库内规范,,徐世强,不通过,"根据提供的基础资料，《8.3.13减压阀的安装提出了要求》中指出，减压阀的阀体上的箭头应指向介质流动方向。这是为了确保减压阀的功能正常，水流方向不变。因此，在安装减压阀时，应严格按照减压阀指示的方向来设置箭头方向，以确保减压阀的正常工作。

共4条引用
1、271GB50263-2007[A010]气体灭火系统施工及验收规范_规范-->5系统安装-->5.3选择阀及信号反馈装置的安装-->5.3.3选择阀的流向指示箭头应指向介质流动方向。
2、24年一建机电-官方教材_专业文件-->第3章建筑机电工程施工技术-->3.4智能化系统工程施工技术-->3.4.3智能化系统的设备安装技术-->1.建筑监控设备的安装要求
3、271GB50263-2007[A010]气体灭火系统施工及验收规范_规范-->5系统安装-->5.2灭火剂储存装置的安装-->5.2.8连接储存容器与集流管间的单向阀的流向指示箭头应指向介质流动方向。
4、160、水喷雾灭火系统技术规范_条文说明-->8施工-->8.3安装-->8.3.13本条对减压阀的安装提出了要求_",,未通过,
28.0,袁灿,消防电,手动火灾报警按钮的布置要求,手动报警按钮每个防火分区内至少应设一只手动火灾报警按钮，从一个防火区内的任何位置到最邻近的一个手动报警按钮的步行距离不应大于30m,,非库内规范,,徐世强,,"手动火灾报警按钮的布置要求包括以下几点：
1.手动火灾报警按钮应设置在明显和便于操作的部位。
2.当采用壁挂方式安装时，其底边距地高度宜为1.3m～1.5m，并应有明显的标志。
3.每个防火分区应至少设置一只手动火灾报警按钮。
4.从一个防火分区内的任何位置到最邻近的手动火灾报警按钮的步行距离不应大于30m。
5.手动火灾报警按钮宜设置在疏散通道或出入口处。

以上是手动火灾报警按钮的布置要求，根据规范制定，确保在火灾发生时能够及时报警并采取相应的措施。

共4条引用
1、212GB50116-2013[A010]火灾自动报警系统设计规范_规范-->1.探测器的光束轴线至顶棚的垂直距离宜为0.3m～1.0m,-->6.3手动火灾报警按钮的设置-->6.3.2手动火灾报警按钮应设置在明显和便于操作的部位。当采用壁挂方式安装时，其底边距地高度宜为1.3m～1.5m_且应有明显的标志。
2、212GB50116-2013[A010]火灾自动报警系统设计规范的条文解释_条文说明-->6系统设备的设置-->6.3手动火灾报警按钮的设置-->6.3.2手动报警按钮应设置在明显的和便于操作的部位，是参考国外规范制定的。当安装在墙上时，其底边距地高度宜为1.3m~1.5m_且应有明显的标志，以便于识别。
3、24年一建机电-官方教材_专业文件-->第3章建筑机电工程施工技术-->3.6消防工程施工技术-->3.6.2消防工程施工技术要求-->11.火灾自动报警及消防联动设备的施工技术要求
4、212GB50116-2013[A010]火灾自动报警系统设计规范_规范-->1.探测器的光束轴线至顶棚的垂直距离宜为0.3m～1.0m,-->6.3手动火灾报警按钮的设置-->6.3.1每个防火分区应至少设置一只手动火灾报警按钮。从一个防火分区内的任何位置到最邻近的手动火",,未通过,
29.0,袁灿,电气,防雷引下线如何接地？,与接地装置采用焊接或螺栓连接,,非库内规范,,徐世强,,"防雷引下线如何接地？根据提供的基础资料，防雷引下线应在不同位置至少引出两根连接导体与室内总等电位接地端子板相连接。接地引出线与接地装置连接处应焊接或热熔焊，并应有防腐措施。各专设引下线距地面0.3m~1.8m处宜设置断接卡。当利用钢筋混凝土中的钢筋作引下线并同时利用基础钢筋做接地网时，可不设断接卡。在钢筋混凝土中钢筋作引下线并采用埋于土壤中的人工接地体时，应在每根专用引下线的距地面不低于0.5m处设接地体连接板，并设有明显标志。焊接连接时应符合电气专业的施工规定。

共4条引用
1、301GB50343-2012[A000]建筑物电子信息系统防雷技术规范_规范-->6防雷施工-->6.3接地线-->6.3.1接地装置应在不同位置至少引出两根连接导体与室内总等电位接地端子板相连接。接地引出线与接地装置连接处应焊接或热熔焊。连接点应有防腐措施。
2、134、交流电气装置的接地设计规范_规范-->4发电厂和变电站的接地网-->4.5雷电保护和防静电的接地-->4.5.1发电厂和变电站雷电保护的接地，应符合下列要求_
3、408GB51348-2019[A000]民用建筑电气设计标准___1-797（合并版）_规范-->11民用建筑物防雷-->11.7引下线-->11.7.6采用专设引下线时，宜在各专设引下线距地面0.3m~1.8m处设置断接卡。当利用钢
4、419GB51440-2021[A000]冷库施工及验收标准_规范-->4土建工程-->4.3钢筋工程-->4.3.7防雷接地引下线用钢筋焊接连接时，应符合电气专业的施
",,未通过,
